[2014-02-14 22:55:36] Finished 11 battle, 59 sec this time, 817 sec total
[2014-02-16 14:27:42] Finished 1 battle, 67 sec this time, 67 sec total
[2014-02-16 14:41:24] Finished 5 battle, 77 sec this time, 421 sec total
[2014-02-16 14:52:02] Finished 3 battle, 73 sec this time, 241 sec total
[2014-02-16 14:53:13] Finished 4 battle, 66 sec this time, 312 sec total
[2014-02-16 14:54:11] Finished 5 battle, 54 sec this time, 370 sec total
[2014-02-16 14:56:42] Finished 7 battle, 62 sec this time, 521 sec total
[2014-02-16 14:57:56] Finished 8 battle, 69 sec this time, 595 sec total
[2014-02-16 14:59:10] Finished 9 battle, 63 sec this time, 669 sec total
[2014-02-16 15:00:22] Finished 10 battle, 67 sec this time, 741 sec total
[2014-02-16 15:01:35] Finished 11 battle, 67 sec this time, 814 sec total
[2014-02-16 15:03:13] Finished 12 battle, 75 sec this time, 912 sec total
[2014-02-16 15:04:42] Finished 13 battle, 74 sec this time, 1001 sec total
[2014-02-16 15:05:51] Finished 14 battle, 62 sec this time, 1070 sec total
[2014-02-16 15:08:46] Finished 16 battle, 67 sec this time, 1245 sec total
[2014-02-16 15:11:18] Finished 18 battle, 70 sec this time, 1397 sec total
[2014-02-16 15:14:54] Finished 21 battle, 51 sec this time, 1613 sec total
[2014-02-16 15:16:15] Finished 22 battle, 73 sec this time, 1694 sec total
[2014-02-16 15:17:39] Finished 23 battle, 72 sec this time, 1778 sec total
[2014-02-16 15:19:01] Finished 24 battle, 68 sec this time, 1860 sec total
[2014-02-16 15:21:25] Finished 26 battle, 51 sec this time, 2004 sec total
[2014-02-16 15:23:58] Finished 28 battle, 68 sec this time, 2157 sec total
[2014-02-16 15:25:08] Finished 29 battle, 64 sec this time, 2227 sec total
[2014-02-16 15:26:24] Finished 30 battle, 69 sec this time, 2303 sec total
[2014-02-16 16:43:50] Finished 2 battle, 48 sec this time, 127 sec total
[2014-02-16 16:46:48] Finished 4 battle, 62 sec this time, 305 sec total
[2014-02-16 16:48:06] Finished 5 battle, 68 sec this time, 383 sec total
[2014-02-16 16:49:00] Finished 6 battle, 49 sec this time, 437 sec total
[2014-02-16 16:53:57] Finished 10 battle, 61 sec this time, 734 sec total
[2014-02-16 16:59:05] Finished 14 battle, 76 sec this time, 1042 sec total
[2014-02-16 17:00:16] Finished 15 battle, 66 sec this time, 1113 sec total
[2014-02-16 19:25:18] Finished 2 battle, 52 sec this time, 159 sec total
[2014-02-16 19:26:34] Finished 3 battle, 66 sec this time, 235 sec total
[2014-02-16 19:27:51] Finished 4 battle, 71 sec this time, 312 sec total
[2014-02-16 19:30:13] Finished 6 battle, 65 sec this time, 454 sec total
[2014-02-16 19:34:41] Finished 9 battle, 65 sec this time, 722 sec total
[2014-02-16 19:35:45] Finished 10 battle, 59 sec this time, 786 sec total
[2014-02-16 19:37:59] Finished 12 battle, 54 sec this time, 920 sec total
[2014-02-16 19:39:10] Finished 13 battle, 65 sec this time, 991 sec total
[2014-02-16 19:40:43] Finished 14 battle, 70 sec this time, 1084 sec total
[2014-02-16 19:46:28] Finished 1 battle, 59 sec this time, 59 sec total
[2014-02-16 19:47:40] Finished 2 battle, 64 sec this time, 131 sec total
[2014-02-16 19:48:49] Finished 3 battle, 63 sec this time, 200 sec total
[2014-02-16 19:49:56] Finished 4 battle, 59 sec this time, 267 sec total
[2014-02-16 19:51:09] Finished 5 battle, 64 sec this time, 340 sec total
[2014-02-16 19:52:19] Finished 6 battle, 58 sec this time, 410 sec total
[2014-02-16 19:56:08] Finished 9 battle, 65 sec this time, 639 sec total
[2014-02-16 19:57:13] Finished 10 battle, 60 sec this time, 704 sec total
[2014-02-16 19:58:09] Finished 11 battle, 49 sec this time, 760 sec total
[2014-02-16 19:58:57] Finished 12 battle, 41 sec this time, 808 sec total
[2014-02-16 20:00:01] Finished 13 battle, 59 sec this time, 872 sec total
[2014-02-16 20:02:35] Finished 15 battle, 69 sec this time, 1026 sec total
[2014-02-16 20:03:45] Finished 16 battle, 64 sec this time, 1096 sec total
[2014-02-16 20:04:58] Finished 17 battle, 64 sec this time, 1169 sec total
[2014-02-16 20:08:11] Finished 20 battle, 45 sec this time, 1362 sec total
[2014-02-16 20:09:18] Finished 21 battle, 62 sec this time, 1429 sec total
[2014-02-16 20:10:29] Finished 22 battle, 65 sec this time, 1500 sec total
[2014-02-16 20:11:37] Finished 23 battle, 62 sec this time, 1568 sec total
[2014-02-16 20:12:49] Finished 24 battle, 65 sec this time, 1640 sec total
[2014-02-16 20:14:08] Finished 25 battle, 70 sec this time, 1719 sec total
[2014-02-16 20:15:05] Finished 26 battle, 52 sec this time, 1776 sec total
[2014-02-16 20:16:01] Finished 27 battle, 50 sec this time, 1832 sec total
[2014-02-16 20:16:55] Finished 28 battle, 49 sec this time, 1886 sec total
[2014-02-16 20:18:09] Finished 29 battle, 68 sec this time, 1960 sec total
[2014-02-16 20:19:13] Finished 30 battle, 57 sec this time, 2024 sec total
[2014-02-16 20:20:18] Finished 31 battle, 58 sec this time, 2089 sec total
[2014-02-16 20:21:28] Finished 32 battle, 65 sec this time, 2159 sec total
[2014-02-16 20:24:07] Finished 34 battle, 70 sec this time, 2318 sec total
[2014-02-16 20:25:22] Finished 35 battle, 69 sec this time, 2393 sec total
[2014-02-16 20:26:32] Finished 36 battle, 64 sec this time, 2463 sec total
[2014-02-16 20:27:43] Finished 37 battle, 63 sec this time, 2534 sec total
[2014-02-16 20:28:42] Finished 38 battle, 52 sec this time, 2593 sec total
[2014-02-16 20:29:52] Finished 39 battle, 64 sec this time, 2663 sec total
[2014-02-16 20:30:54] Finished 40 battle, 54 sec this time, 2725 sec total
[2014-02-16 20:31:59] Finished 41 battle, 58 sec this time, 2790 sec total
[2014-02-16 20:55:48] Finished 2 battle, 66 sec this time, 145 sec total
[2014-02-16 20:56:36] Finished 3 battle, 42 sec this time, 193 sec total
[2014-02-16 20:57:26] Finished 4 battle, 44 sec this time, 243 sec total
[2014-02-16 20:59:46] Finished 6 battle, 60 sec this time, 383 sec total
[2014-02-16 21:01:05] Finished 7 battle, 69 sec this time, 462 sec total
[2014-02-16 21:02:01] Finished 8 battle, 50 sec this time, 518 sec total
[2014-02-16 21:03:04] Finished 9 battle, 58 sec this time, 581 sec total
[2014-02-16 21:04:15] Finished 10 battle, 64 sec this time, 652 sec total
[2014-02-16 21:05:06] Finished 11 battle, 45 sec this time, 703 sec total
[2014-02-16 21:08:55] Finished 14 battle, 62 sec this time, 932 sec total
[2014-02-16 21:10:14] Finished 15 battle, 72 sec this time, 1011 sec total
[2014-02-16 21:12:22] Finished 17 battle, 47 sec this time, 1139 sec total
[2014-02-16 21:13:27] Finished 18 battle, 54 sec this time, 1204 sec total
